StoreMisalignBuffer	UNMATCH_COMPARE	nc1/ur11/ui101/bb0/NONSYM
StoreQueue	NATIVE_FAIL	nc119/ur41/ui2603/bb0/NONSYM
StoreUnit	IMPL_DEAD	nc94/ur4/ui4/bb0/NONSYM
SyncDataModuleTemplate__1024entry_1	UNMATCH_COMPARE	nc0/ur0/ui0/bb0
TL2CHICoupledL2	IMPL_DEAD	nc269/ur4/ui4/bb99
TLBFA	IMPL_DEAD	nc22/ur11/ui347/bb0/NONSYM
TLBFA_1	IMPL_DEAD	nc33/ur11/ui155/bb0/NONSYM
TLBNonBlock	IMPL_DEAD	nc0/ur12/ui186/bb3
TLPLIC	IMPL_DEAD	nc0/ur0/ui4/bb0
TageTable	IMPL_DEAD	nc0/ur48/ui11/bb13
TageTable_1	IMPL_DEAD	nc0/ur48/ui11/bb13
TageTable_2	IMPL_DEAD	nc0/ur48/ui11/bb13
TageTable_3	IMPL_DEAD	nc0/ur48/ui11/bb13
Tage_SC	IMPL_DEAD	nc193/ur402/ui19/bb11/NONSYM
Uncache	IMPL_DEAD	nc12/ur45/ui46/bb0/NONSYM
VirtualLoadQueue	NATIVE_FAIL	nc0/ur0/ui112/bb0
WbDataPath	VMUCP+BB+GOLD	nc224/ur64/ui0/bb26
WritebackQueue	IMPL_DEAD	nc0/ur36/ui36/bb0
XSCore	UNMATCH_COMPARE	nc0/ur0/ui0/bb3
XSTile	NATIVE_FAIL	nc0/ur0/ui0/bb22
XSTop	NATIVE_FAIL	nc3/ur0/ui0/bb68
